Location,Crowd Density,Number of People ,Social Distancing Violations,Time,Date
Main gate,LOW,2,2,22:52:58,18/09/2021
Main gate,LOW,2,2,22:52:59,18/09/2021
Main gate,LOW,2,2,22:53:00,18/09/2021
Main gate,LOW,2,2,22:53:01,18/09/2021
Main gate,LOW,2,2,22:53:02,18/09/2021
Main gate,LOW,2,2,22:53:03,18/09/2021
Main gate,LOW,2,2,22:53:04,18/09/2021
Location,Crowd Density,Number of People ,Social Distancing Violations,Time,Date
Main gate,LOW,2,2,19:04:42,29/09/2021
Main gate,LOW,2,2,19:04:43,29/09/2021
Main gate,LOW,2,2,19:04:44,29/09/2021
Main gate,LOW,2,2,19:04:45,29/09/2021
Main gate,LOW,2,2,19:04:46,29/09/2021
Location,Crowd Density,Number of People ,Social Distancing Violations,Time,Date
Main gate,LOW,2,2,19:04:51,29/09/2021
Main gate,LOW,2,2,19:04:52,29/09/2021
Main gate,LOW,2,2,19:04:53,29/09/2021
Location,Crowd Density,Number of People ,Social Distancing Violations,Time,Date
Main gate,LOW,2,2,04:43:37,02/10/2021
Main gate,LOW,2,2,04:43:38,02/10/2021
Main gate,LOW,2,2,04:43:39,02/10/2021
Main gate,LOW,2,2,04:43:40,02/10/2021
Main gate,LOW,2,2,04:43:41,02/10/2021
Main gate,LOW,2,2,04:43:42,02/10/2021
Location,Crowd Density,Number of People ,Social Distancing Violations,Time,Date
Main gate,LOW,0,0,04:43:59,02/10/2021
Main gate,LOW,0,0,04:44:00,02/10/2021
Main gate,LOW,0,0,04:44:01,02/10/2021
Main gate,LOW,0,0,04:44:02,02/10/2021
Main gate,LOW,0,0,04:44:03,02/10/2021
Main gate,LOW,0,0,04:44:04,02/10/2021
Main gate,LOW,0,0,04:44:05,02/10/2021
Main gate,LOW,0,0,04:44:06,02/10/2021
Main gate,LOW,0,0,04:44:07,02/10/2021
Main gate,LOW,0,0,04:44:08,02/10/2021
Main gate,LOW,0,0,04:44:09,02/10/2021
Main gate,LOW,0,0,04:44:10,02/10/2021
Main gate,LOW,0,0,04:44:11,02/10/2021
Main gate,LOW,0,0,04:44:12,02/10/2021
Main gate,LOW,0,0,04:44:13,02/10/2021
Main gate,LOW,0,0,04:44:14,02/10/2021
Main gate,LOW,0,0,04:44:15,02/10/2021
Main gate,LOW,0,0,04:44:16,02/10/2021
Main gate,LOW,0,0,04:44:17,02/10/2021
Main gate,LOW,0,0,04:44:18,02/10/2021
Main gate,LOW,0,0,04:44:19,02/10/2021
Main gate,LOW,0,0,04:44:20,02/10/2021
Main gate,LOW,0,0,04:44:21,02/10/2021
Main gate,LOW,0,0,04:44:22,02/10/2021
Main gate,LOW,0,0,04:44:23,02/10/2021
Main gate,LOW,0,0,04:44:24,02/10/2021
Main gate,LOW,0,0,04:44:25,02/10/2021
Main gate,LOW,0,0,04:44:26,02/10/2021
Main gate,LOW,0,0,04:44:27,02/10/2021
Main gate,LOW,0,0,04:44:28,02/10/2021
Main gate,LOW,0,0,04:44:29,02/10/2021
Main gate,LOW,0,0,04:44:30,02/10/2021
Main gate,LOW,0,0,04:44:31,02/10/2021
Main gate,LOW,0,0,04:44:32,02/10/2021
Main gate,LOW,0,0,04:44:33,02/10/2021
Main gate,LOW,0,0,04:44:34,02/10/2021
Main gate,LOW,0,0,04:44:35,02/10/2021
Main gate,LOW,0,0,04:44:36,02/10/2021
Main gate,LOW,0,0,04:44:37,02/10/2021
Main gate,LOW,1,0,04:44:38,02/10/2021
Main gate,LOW,1,0,04:44:39,02/10/2021
Main gate,LOW,0,0,04:44:40,02/10/2021
Main gate,LOW,0,0,04:44:41,02/10/2021
Main gate,LOW,1,0,04:44:42,02/10/2021
Main gate,LOW,1,0,04:44:43,02/10/2021
Main gate,LOW,1,0,04:44:44,02/10/2021
Main gate,LOW,0,0,04:44:45,02/10/2021
Main gate,LOW,1,0,04:44:46,02/10/2021
Main gate,LOW,1,0,04:44:47,02/10/2021
Main gate,LOW,0,0,04:44:48,02/10/2021
Main gate,LOW,1,0,04:44:49,02/10/2021
Main gate,LOW,1,0,04:44:50,02/10/2021
Main gate,LOW,1,0,04:44:51,02/10/2021
Main gate,LOW,0,0,04:44:52,02/10/2021
Main gate,LOW,0,0,04:44:53,02/10/2021
Main gate,LOW,0,0,04:44:54,02/10/2021
Main gate,LOW,0,0,04:44:55,02/10/2021
Main gate,LOW,1,0,04:44:56,02/10/2021
Main gate,LOW,0,0,04:44:57,02/10/2021
Main gate,LOW,0,0,04:44:58,02/10/2021
Main gate,LOW,0,0,04:44:59,02/10/2021
Main gate,LOW,0,0,04:45:00,02/10/2021
Main gate,LOW,0,0,04:45:01,02/10/2021
Main gate,LOW,0,0,04:45:02,02/10/2021
Main gate,LOW,0,0,04:45:03,02/10/2021
Main gate,LOW,0,0,04:45:04,02/10/2021
Main gate,LOW,0,0,04:45:05,02/10/2021
Main gate,LOW,0,0,04:45:06,02/10/2021
Main gate,LOW,0,0,04:45:07,02/10/2021
